d.title,a.number,a.concept,a.subject,a.action,a.object,a.full_text
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제4항,지분증권의 정의,이 법,정의하다,"주권, 신주인수권이 표시된 것, 법률에 의하여 직접 설립된 법인이 발행한 출자증권, 상법에 따른 합자회사ㆍ유한책임회사ㆍ유한회사ㆍ합자조합ㆍ익명조합의 출자지분, 그 밖에 이와 유사한 것으로서 출자지분 또는 출자지분을 취득할 권리가 표시된 것","제469조제2항제3호에 따른 사채의 경우에는 제7항제1호에 해당하는 것으로 한 정한다. 이하 같다), 기업어음증권(기업이 사업에 필요한 자금을 조달하기 위하여 발행한 약속어음으로서 대통령령 으로 정하는 요건을 갖춘 것을 말한다. 이하 같다), 그 밖에 이와 유사(類似)한 것으로서 지급청구권이 표시된 것을 말한다.<개정 2013. 5. 28.> ④ 이 법에서 “지분증권”이란 주권, 신주인수권이 표시된 것, 법률에 의하여 직접 설립된 법인이 발행한 출자증권, 「 상법」에 따른 합자회사ㆍ유한책임회사ㆍ유한회사ㆍ합자조합ㆍ익명조합의 출자지분, 그 밖에 이와 유사한 것으로 서 출자지분 또는 출자지분을 취득할 권리가 표시된 것을 말한다.<개정 2013. 5. 28.> ⑤ 이 법에서 “수익증권”이란"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제110조,수익증권,,,,"제110조의 수익증권,"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),"정의 조항 (항 6, 7)","증권의 정의 (수익증권, 투자계약증권, 파생결합증권)",,,,"제189조의 수익증권, 그 밖에 이와 유사한 것으로서 신탁의 수익 권이 표시된 것을 말한다. ⑥ 이 법에서 “투자계약증권”이란 특정 투자자가 그 투자자와 타인(다른 투자자를 포함한다. 이하 이 항에서 같다) 간의 공동사업에 금전등을 투자하고 주로 타인이 수행한 공동사업의 결과에 따른 손익을 귀속받는 계약상의 권리 가 표시된 것을 말한다. ⑦ 이 법에서 “파생결합증권”이란 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등의 변동과 연계하여 미리 정하여진 방법에 따라 지급하거나 회수하는 금전등이 결정되는 권리가 표시된 것을 말한다. 다만, 다 음 각 호의 어느 하나에 해당하는 것은 제외한다.<개정 2013. 5. 28., 2016. 3. 29., 2017. 4. 18., 2022. 12. 31.> 1. 발행과 동시에 투자자가 지급한 금전등에 대한 이자, 그 밖의 과실(果實)에 대하여만 해당 기초자산의 가격ㆍ이 자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등의 변동과 연계된 증권 2."
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제5조제1항제2호,계약상의 권리,,,,제5조제1항제2호에 따른 계약상의 권리(
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제5조제1항제3호,조건부 사채의 특성 및 정의,,객관적이고 합리적인 기준에 따라 미리 정하는 사유가 발생하는 경우 주식으로 전환되거나 상환 및 이자지급 의무가 감면된다는 조건이 붙음,해당 사채 및 그 사채의 상환과 이자지급 의무,제5조제1항 각 호 외의 부분 단서에서 정하는 금융투자상품은 제외한다) 3. 해당 사채의 발행 당시 객관적이고 합리적인 기준에 따라 미리 정하는 사유가 발생하는 경우 주식으로 전환되거 나 그 사채의 상환과 이자지급 의무가 감면된다는 조건이 붙은 것으로서
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제165조의11제1항,주권상장법인이 발행하는 사채 및 은행법 관련 규정,주권상장법인,발행,사채 및 「은행법」,제165조의11제1항에 따라 주권상장법 인이 발행하는 사채 3의2. 「은행법」
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),3의3,조건부자본증권의 종류 및 범위,,,"제33조제1항제2호부터 제4호까지의 규정에 따른 상각형 조건부자본증권, 은행주식 전환형 조건부 자본증권 및 은행지주회사주식 전환형 조건부자본증권","제33조제1항제2호부터 제4호까지의 규정에 따른 상각형 조건부자본증권, 은행주식 전환형 조건부 자본증권 및 은행지주회사주식 전환형 조건부자본증권 3의3. 「금융지주회사법」"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제15조의2,조건부자본증권 관련 규정 (보험업법),,,상각형 조건부자본증권 또는 전환형 조건부자본 증권,제15조의2제1항제2호 또는 제3호에 따른 상각형 조건부자본증권 또는 전환형 조건부자본 증권 3의4. 「보험업법」
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제4호 (Fragment),특정 조건부자본증권 및 상법상 증권의 정의 목록,,,"제114조의2제1항제1호부터 제3호까지의 규정에 따른 상각형 조건부자본증권, 보험회사주식 전환형 조건부자본증권, 금융지주회사주식 전환형 조건부자본증권 및 상법상 증권","제114조의2제1항제1호에서 제3호까지의 규정에 따른 상각형 조건부자본증권, 보험회사주식 전 환형 조건부자본증권 및 금융지주회사주식 전환형 조건부자본증권 4. 「상법」"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제469조제2항제2호,법령 조항 내용 미제공 (분석할 텍스트가 조항 번호만 제시되어 추출 불가),,,,"제469조제2항제2호,"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제513조,조항 내용 미상 (원문 불완전),,,,제513조 및
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제[미상]조제8항,증권예탁증권 및 기초자산의 정의,,정의함,"증권예탁증권, 기초자산 및 증권에 표시될 권리","제516조의2에 따른 사채 5. 그 밖에 제1호부터 제3호까지, 제3호의2부터 제3호의4까지 및 제4호에 따른 금융투자상품과 유사한 것으로서 대 통령령으로 정하는 금융투자상품 ⑧ 이 법에서 “증권예탁증권”이란 제2항제1호부터 제5호까지의 증권을 예탁받은 자가 그 증권이 발행된 국가 외의 국가에서 발행한 것으로서 그 예탁받은 증권에 관련된 권리가 표시된 것을 말한다. ⑨ 제2항 각 호의 어느 하나에 해당하는 증권에 표시될 수 있거나 표시되어야 할 권리는 그 증권이 발행되지 아니 한 경우에도 그 증권으로 본다. ⑩ 이 법에서 “기초자산”이란 다음 각 호의 어느 하나에 해당하는 것을 말한다. 법제처 3 국가법령정보센터 자본시장과 금융투자업에 관한 법률 1. 금융투자상품 2. 통화(외국의 통화를 포함한다) 3. 일반상품(농산물ㆍ축산물ㆍ수산물ㆍ임산물ㆍ광산물ㆍ에너지에 속하는 물품 및 이 물품을 원료로 하여 제조하거 나 가공한 물품, 그 밖에 이와 유사한 것을 말한다) 4. 신용위험(당사자 또는 제삼자의 신용등급의 변동, 파산 또는 채무재조정 등으로 인한 신용의 변동을 말한다) 5. 그 밖에 자연적ㆍ환경적ㆍ경제적 현상 등에 속하는 위험으로서 합리적이고 적정한 방법에 의하여 가격ㆍ이자율 ㆍ지표ㆍ단위의 산출이나 평가가 가능한 것"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제5조,"파생상품 및 그 종류(장내파생상품, 장외파생상품)의 정의",,"정의함 (말한다), 매매계약의 체결로 간주함 (본다)","파생상품, 장내파생상품, 장외파생상품, 계약상의 권리","제5조(파생상품) ① 이 법에서 “파생상품”이란 다음 각 호의 어느 하나에 해당하는 계약상의 권리를 말한다. 다만, 해당 금융투자상품의 유통 가능성, 계약당사자, 발행사유 등을 고려하여 증권으로 규제하는 것이 타당한 것으로서 대통령 령으로 정하는 금융투자상품은 그러하지 아니하다. <개정 2013. 5. 28.> 1. 기초자산이나 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등에 의하여 산출된 금전등을 장래의 특정 시점에 인도할 것을 약정하는 계약 2. 당사자 어느 한쪽의 의사표시에 의하여 기초자산이나 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등에 의하여 산출된 금전등을 수수하는 거래를 성립시킬 수 있는 권리를 부여하는 것을 약정하는 계약 3. 장래의 일정기간 동안 미리 정한 가격으로 기초자산이나 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초 로 하는 지수 등에 의하여 산출된 금전등을 교환할 것을 약정하는 계약 4. 제1호부터 제3호까지의 규정에 따른 계약과 유사한 것으로서 대통령령으로 정하는 계약 ② 이 법에서 “장내파생상품”이란 다음 각 호의 어느 하나에 해당하는 것을 말한다.<개정 2013. 5. 28.> 1. 파생상품시장에서 거래되는 파생상품 2. 해외 파생상품시장(파생상품시장과 유사한 시장으로서 해외에 있는 시장과 대통령령으로 정하는 해외 파생상품 거래가 이루어지는 시장을 말한다)에서 거래되는 파생상품 3. 그 밖에 금융투자상품시장을 개설하여 운영하는 자가 정하는 기준과 방법에 따라 금융투자상품시장에서 거래되 는 파생상품 ③ 이 법에서 “장외파생상품”이란 파생상품으로서 장내파생상품이 아닌 것을 말한다. ④ 제1항 각 호의 어느 하나에 해당하는 계약 중 매매계약이 아닌 계약의 체결은 이 법을 적용함에 있어서 매매계 약의 체결로 본다. 부칙 <제21134호,2025. 11. 11.>(노동절 제정에 관한 법률)"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제1조,시행일,이 법,시행한다,공포한 날부터,제1조(시행일) 이 법은 공포한 날부터 시행한다.
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제2조,다른 법률의 개정,,개정한다,자본시장과 금융투자업에 관한 법률 일부,제2조(다른 법률의 개정) ①부터 ⑥까지 생략 ⑦ 자본시장과 금융투자업에 관한 법률 일부를 다음과 같이 개정한다.
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제134조제2항 각 호 외의 부분 단서,법률 용어 변경 (근로자의 날을 노동절로 대체),,변경 (대체),「근로자의 날 제정에 관한 법률」에 따른 근로자의 날 (구문),제134조제2항 각 호 외의 부분 단서 중 “「근로자의 날 제정에 관한 법률」에 따른 근로자의 날”을 “「노동절 제정에 관한 법률」에 따른 노동절”로 한다. ⑧ 및 ⑨ 생략
